Agency,Criminality,Month,Count
CBP,Convicted Criminal,Oct,1412
CBP,Convicted Criminal,Nov,1423
CBP,Convicted Criminal,Dec,1388
CBP,Convicted Criminal,Jan,1470
CBP,Convicted Criminal,Feb,1338
CBP,Convicted Criminal,Mar,1297
CBP,Convicted Criminal,Apr,1500
CBP,Convicted Criminal,May,1403
CBP,Convicted Criminal,Jun,1352
CBP,Convicted Criminal,Jul,1197
CBP,Convicted Criminal,Aug,0
CBP,Convicted Criminal,Sep,0
CBP,Pending Criminal Charges,Oct,773
CBP,Pending Criminal Charges,Nov,771
CBP,Pending Criminal Charges,Dec,751
CBP,Pending Criminal Charges,Jan,743
CBP,Pending Criminal Charges,Feb,707
CBP,Pending Criminal Charges,Mar,768
CBP,Pending Criminal Charges,Apr,878
CBP,Pending Criminal Charges,May,1044
CBP,Pending Criminal Charges,Jun,990
CBP,Pending Criminal Charges,Jul,819
CBP,Pending Criminal Charges,Aug,0
CBP,Pending Criminal Charges,Sep,0
CBP,Other Immigration Violator,Oct,22239
CBP,Other Immigration Violator,Nov,22203
CBP,Other Immigration Violator,Dec,22208
CBP,Other Immigration Violator,Jan,22459
CBP,Other Immigration Violator,Feb,19501
CBP,Other Immigration Violator,Mar,17833
CBP,Other Immigration Violator,Apr,16421
CBP,Other Immigration Violator,May,15104
CBP,Other Immigration Violator,Jun,14153
CBP,Other Immigration Violator,Jul,13371
CBP,Other Immigration Violator,Aug,0
CBP,Other Immigration Violator,Sep,0
ICE,Convicted Criminal,Oct,9280
ICE,Convicted Criminal,Nov,9428
ICE,Convicted Criminal,Dec,9489
ICE,Convicted Criminal,Jan,9748
ICE,Convicted Criminal,Feb,11543
ICE,Convicted Criminal,Mar,13423
ICE,Convicted Criminal,Apr,14199
ICE,Convicted Criminal,May,14403
ICE,Convicted Criminal,Jun,15287
ICE,Convicted Criminal,Jul,15514
ICE,Convicted Criminal,Aug,0
ICE,Convicted Criminal,Sep,0
ICE,Pending Criminal Charges,Oct,4138
ICE,Pending Criminal Charges,Nov,4298
ICE,Pending Criminal Charges,Dec,4429
ICE,Pending Criminal Charges,Jan,4741
ICE,Pending Criminal Charges,Feb,6845
ICE,Pending Criminal Charges,Mar,9469
ICE,Pending Criminal Charges,Apr,11161
ICE,Pending Criminal Charges,May,12263
ICE,Pending Criminal Charges,Jun,13573
ICE,Pending Criminal Charges,Jul,13693
ICE,Pending Criminal Charges,Aug,0
ICE,Pending Criminal Charges,Sep,0
ICE,Other Immigration Violator,Oct,866
ICE,Other Immigration Violator,Nov,868
ICE,Other Immigration Violator,Dec,872
ICE,Other Immigration Violator,Jan,1043
ICE,Other Immigration Violator,Feb,3184
ICE,Other Immigration Violator,Mar,4887
ICE,Other Immigration Violator,Apr,5348
ICE,Other Immigration Violator,May,6114
ICE,Other Immigration Violator,Jun,12055
ICE,Other Immigration Violator,Jul,13925
ICE,Other Immigration Violator,Aug,0
ICE,Other Immigration Violator,Sep,0
