Source File,Source File Date,Fiscal Year,Agency,YTD
FY25_detentionStats11212024.xlsx,2024-11-21,FY25,CBP,15767
FY25_detentionStats11212024.xlsx,2024-11-21,FY25,ICE,9033
FY25_detentionStats12182024.xlsx,2024-12-18,FY25,CBP,34992
FY25_detentionStats12182024.xlsx,2024-12-18,FY25,ICE,20061
FY23_detentionStats09292023.xlsx,2023-09-29,FY23,CBP,184390
FY23_detentionStats09292023.xlsx,2023-09-29,FY23,ICE,82845
FY24_detentionStats01182024.xlsx,2024-01-18,FY24,CBP,47316
FY24_detentionStats01182024.xlsx,2024-01-18,FY24,ICE,23912
FY24_detentionStats02292024.xlsx,2024-02-29,FY24,CBP,69870
FY24_detentionStats02292024.xlsx,2024-02-29,FY24,ICE,33767
FY24_detentionStats03292024.xlsx,2024-03-29,FY24,CBP,84299
FY24_detentionStats03292024.xlsx,2024-03-29,FY24,ICE,41104
FY24_detentionStats04252024.xlsx,2024-04-25,FY24,CBP,96860
FY24_detentionStats04252024.xlsx,2024-04-25,FY24,ICE,48409
FY24_detentionStats05242024.xlsx,2024-05-24,FY24,CBP,113926
FY24_detentionStats05242024.xlsx,2024-05-24,FY24,ICE,56229
FY24_detentionStats06202024.xlsx,2024-06-20,FY24,CBP,131614
FY24_detentionStats06202024.xlsx,2024-06-20,FY24,ICE,63528
FY24_detentionStats07182024.xlsx,2024-07-18,FY24,CBP,146194
FY24_detentionStats07182024.xlsx,2024-07-18,FY24,ICE,70429
FY24_detentionStats08292024.xlsx,2024-08-29,FY24,CBP,168683
FY24_detentionStats08292024.xlsx,2024-08-29,FY24,ICE,81315
FY24_detentionStats09172024.xlsx,2024-09-17,FY24,CBP,176231
FY24_detentionStats09172024.xlsx,2024-09-17,FY24,ICE,84901
FY24_detentionStats11222023.xlsx,2023-11-22,FY24,CBP,24935
FY24_detentionStats11222023.xlsx,2023-11-22,FY24,ICE,11142
FY24_detentionStats12202023.xlsx,2023-12-20,FY24,CBP,35806
FY24_detentionStats12202023.xlsx,2023-12-20,FY24,ICE,17477
FY25_detentionStats01162025.xlsx,2025-01-16,FY25,CBP,46842
FY25_detentionStats01162025.xlsx,2025-01-16,FY25,ICE,26420
FY25_detentionStats02272025.xlsx,2025-02-27,FY25,CBP,56327
FY25_detentionStats02272025.xlsx,2025-02-27,FY25,ICE,48648
FY25_detentionStats03262025.xlsx,2025-03-26,FY25,CBP,60045
FY25_detentionStats03262025.xlsx,2025-03-26,FY25,ICE,66997
FY25_detentionStats04162025.xlsx,2025-04-16,FY25,CBP,61883
FY25_detentionStats04162025.xlsx,2025-04-16,FY25,ICE,75593
FY25_detentionStats05232025.xlsx,2025-05-23,FY25,CBP,68111
FY25_detentionStats05232025.xlsx,2025-05-23,FY25,ICE,101911
FY25_detentionStats06202025.xlsx,2025-06-20,FY25,CBP,73483
FY25_detentionStats06202025.xlsx,2025-06-20,FY25,ICE,130814
FY25_detentionStats07312025.xlsx,2025-07-31,FY25,CBP,79203
FY25_detentionStats07312025.xlsx,2025-07-31,FY25,ICE,168371
FY25_detentionStats08292025.xlsx,2025-08-29,FY25,CBP,82752
FY25_detentionStats08292025.xlsx,2025-08-29,FY25,ICE,194590
FY25_detentionStats09252025.xlsx,2025-09-25,FY25,CBP,87349
FY25_detentionStats09252025.xlsx,2025-09-25,FY25,ICE,222832
